1	BOS 找回密码 EOS\	O O O O O passwd_change
2	BOS 我的交易密码忘记了，连续输了3次被锁定了，不能登录了，怎么办? EOS\	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O passwd_change
3	BOS 隔日委托时间 EOS\	O O O O O B-trading_time I-trading_time alternate_day_order
4	BOS 我想问一下，昨天签约了现金宝，但是下午并没有自动划转账户余额 EOS\	O O O O O O O O O B-action I-action O B-object I-object I-object O O O B-trading_time I-trading_time O O O O O B-action I-action I-action I-action I-action I-action xjb_return
5	BOS 我的资金账户是什么呢？上海账户是A172204396 EOS\	O O O B-subject I-subject I-subject I-subject O O O O O B-subject I-subject I-subject I-subject O O O O O O O O O O O account_info_query
6	BOS 资金帐号是输什么啊 EOS\	O B-subject I-subject I-subject I-subject O O O O O account_info_query
7	BOS 0110901737  的资金账号是什么 EOS\	O O O O O O O O O O O O O O B-subject I-subject I-subject I-subject O O O account_info_query
8	BOS 我的帐户是上海帐户怎么登录 EOS\	O O O O O O O O O O O O O O account_info_query
9	BOS 账号 EOS\	O B-subject I-subject account_info_query
10	BOS 你能查一下我的开户信息吗 EOS\	O O O O O O O O B-subject I-subject I-subject I-subject O account_info_query
12	BOS 不记得资金账户了咋办 EOS\	O O O O B-subject I-subject I-subject I-subject O O O account_info_query
13	BOS 我的账号能不能帮我查一下 EOS\	O O O B-subject I-subject O O O O O O O O account_info_query
14	BOS 怎么找回密码 EOS\	O O O O O O O passwd_change
15	BOS 我的帳号忘記了，是否要去營业部找回 EOS\	O O O B-subject I-subject O O O O O O O O B-channel I-channel I-channel O O account_info_query
16	BOS 登录账号 EOS\	O B-subject I-subject I-subject I-subject account_info_query
17	BOS 密码忘了 EOS\	O O O O O passwd_change
18	BOS 改密码怎么做？ EOS\	O O O O O O O O passwd_change
19	BOS 我忘资金账号怎么办 EOS\	O O O B-subject I-subject I-subject I-subject O O O account_info_query
20	BOS 我的资金账户密码短信丢失、还可以给我补发一下吗 EOS\	O O O B-subject I-subject I-subject I-subject B-subject I-subject I-subject I-subject O O O O O O O O O O O O O account_info_query
21	BOS 不好意思，我密码忘记了 EOS\	O O O O O O O O O O O O passwd_change
22	BOS 忘记密码 EOS\	O O O O O passwd_change
23	BOS 忘记密码了怎么办 EOS\	O O O O O O O O O passwd_change
24	BOS 我的交易密码忘了怎么办？ EOS\	O O O O O O O O O O O O O passwd_change
25	BOS 我密码忘记了？怎么办？ EOS\	O O O O O O O O O O O O passwd_change
26	BOS 我的账户被?了，怎么办 EOS\	O O O O O O O O O O O O O passwd_change
27	BOS 我忘记了交易密码怎么办？ EOS\	O O O O O O O O O O O O O passwd_change
28	BOS 登陆密码忘记了，怎办 EOS\	O O O O O O O O O O O passwd_change
29	BOS 忘记登陆密码怎么办 EOS\	O O O O O O O O O O passwd_change
30	BOS 申购新股，申购不上， EOS\	O B-action I-action B-object I-object O O O O O O newstk_quote_cal
31	BOS 请问我能申购多少新股？ EOS\	O O O O O B-action I-action O O B-object I-object O newstk_quote_cal
34	BOS 我新开的账户可以申购新股吗 EOS\	O O O O O O O O O O O O O O newstk_quote_query
35	BOS 如何修改密码 EOS\	O O O B-action I-action B-object I-object passwd_change
37	BOS 你好！有股票账户没有剩余钱申请股票也不行吧？ EOS\	O O O O O O O O O O O O O O B-action I-action I-action I-action O O O O O newstk_quote_cal
38	BOS 手机如何买st EOS\	O B-channel I-channel O O B-action B-subject I-subject st_code_consult
39	BOS 买st EOS\	O B-action B-object I-object st_code_consult
40	BOS 看登录不上去 EOS\	O O O O O O O passwd_change
41	BOS 老登录不上去 EOS\	O O O O O O O passwd_change
42	BOS 忘记旧密码了，可以修改新密码吗 EOS\	O O O O O O O O O O O O O O O O passwd_change
43	BOS 忘记交易密码 EOS\	O O O O O O O passwd_change
44	BOS 如何找到资金账号 EOS\	O O O B-action I-action B-object I-object I-object I-object account_info_query
45	BOS 忘记账号咋办 EOS\	O B-action I-action B-object I-object O O account_info_query
46	BOS 以前帐号忘记 EOS\	O O O B-object I-object B-action I-action account_info_query
47	BOS 密码修改后登录不上去 EOS\	O O O O O O O O O O O passwd_change
48	BOS 忘记资金帐号怎么查找 EOS\	O O O B-subject I-subject I-subject I-subject O O O O account_info_query
49	BOS 密码错误 EOS\	O O O O O passwd_change
50	BOS 能不能变更我预留的手机号码 EOS\	O O O O O O O O O O B-subject I-subject I-subject I-subject account_info_query
51	BOS 我想改手机号 EOS\	O O O O B-subject I-subject I-subject account_info_query
52	BOS 账户密码忘记了 EOS\	O B-subject I-subject I-subject I-subject O O O account_info_query
53	BOS 你好我的资金账号忘记了？ EOS\	O O O O O B-subject I-subject I-subject I-subject O O O O account_info_query
54	BOS 我的资金账户怎么不对了 EOS\	O O O B-subject I-subject I-subject I-subject O O O O O acctid_nonexist
55	BOS 资金密码是多少呢 EOS\	O B-subject I-subject I-subject I-subject O O O O account_info_query
56	BOS 账号忘了 EOS\	O B-subject I-subject O O account_info_query
57	BOS 忘记账号咋办 EOS\	O O O B-subject I-subject O O account_info_query
58	BOS 用户不存在 EOS\	O O O O O O account_info_query
59	BOS 股东帐户深A EOS\	O B-subject I-subject I-subject I-subject O O account_info_query
60	BOS 我原先开过的户，好长时间不用，，账户忘记了，咋？ EOS\	O O O O O O O O O O O O O O O O O B-subject I-subject O O O O O O account_info_query
61	BOS 你好资金账号怎么找回 EOS\	O O O B-subject I-subject I-subject I-subject O O O O account_info_query
62	BOS 你好资金账号怎么找回 EOS\	O O O B-subject I-subject I-subject I-subject O O O O account_info_query
63	BOS 重新安装软件，忘记账号 EOS\	O O O O O O O O O O B-subject I-subject account_info_query
