BOS 我的手续费是多少？ EOS\	O O O O O O O O O O commission_adjust
BOS 我的手续费是多少？ EOS\	O O O O O O O O O O commission_adjust
BOS 万几呀 EOS\	O O O O commission_adjust
BOS 你好，我问下佣金现在最低是多少？ EOS\	O O O O O O O O O O O O O O O O O commission_adjust
BOS 我的交易费是多少 EOS\	O O O O O O O O O commission_adjust
BOS 我的手续费，我找谁给我降 EOS\	O O O O O O O O O O O O O commission_adjust
BOS 你好，我现在的手续费是多少？ EOS\	O O O O O O O O O O O O O O O commission_adjust
BOS 你好，我的股票交易手续费是多少？ EOS\	O O O O O O O O O O O O O O O O O commission_adjust
BOS 你好，我问下佣金现在最低是多少？ EOS\	O O O O O O O O O O O O O O O O O commission_adjust
BOS 降一降 EOS\	O O O O commission_adjust
BOS 我的佣金现在是千分之三 EOS\	O O O O O O O O O O O O commission_adjust
BOS 不知道买卖股票的费用能不能降低 EOS\	O O O O O O O O O O O O O O O O commission_adjust
BOS 我的帐户可以降低交易费吗 EOS\	O O O O O O O O O O O O O commission_adjust
BOS 我希望能调低佣金 EOS\	O O O O O O O O O commission_adjust
BOS 我的佣金可以调低点吗？ EOS\	O O O O O O O O O O O O commission_adjust
BOS 我开户几年了，根据我的情况，能降低下费率吗？ EOS\	O O O O O O O O O O O O O O O O O O O O O O O commission_adjust
BOS 手续费太高 EOS\	O O O O O O commission_adjust
BOS 我的买卖手续费可以再降低点吗？ EOS\	O O O O O O O O O O O O O O O O commission_adjust
BOS 我的这个怎么收费怎么这么高 EOS\	O O O O O O O O O O O O O O commission_adjust
BOS 我的交易费用能不能降点。我的比别人都高出好多 EOS\	O O O O O O O O O O O O O O O O O O O O O O O commission_adjust
BOS 你好，我的交易佣金能否降到万2.5？ EOS\	O O O O O O O O O O O O O O O O O O O commission_adjust
BOS 我的账户俑金为什么还是千三啊？现在新开户都是万三了？ EOS\	O O O O O O O O O O O O O O O O O O O O O O O O O O O commission_adjust
BOS 手续费很贵 EOS\	O O O O O O commission_adjust
BOS 别的公司交易费都是万三 EOS\	O O O O O O O O O O O O commission_adjust
BOS 最近想买点股票，我的交易手续费是怎么算得，是万分之几吗，不是的话怎么改 EOS\	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O commission_adjust
BOS 现在用金，都很底 EOS\	O O O O O O O O O commission_adjust
BOS 咱公司我去改怎么最低万五 EOS\	O O O O O O O O O O O O O commission_adjust
BOS 对了，我的佣金为何高 EOS\	O O O O O O O O O O O commission_adjust
BOS 别的证券公司都万三甚至更低 EOS\	O O O O O O O O O O O O O O commission_adjust
BOS 我转点钱进市，可以给我调低佣金吗？ EOS\	O O O O O O O O O O O O O O O O O O commission_adjust
BOS 手续费好高 EOS\	O O O O O O commission_adjust
BOS 我知道了，别的现在都到2了 EOS\	O O O O O O O O O O O O O O commission_adjust
BOS 申请降低交易费 EOS\	O O O O O O O O commission_adjust
BOS 前三 EOS\	O O O commission_adjust
BOS 前三 EOS\	O O O commission_adjust
BOS 前三 EOS\	O O O commission_adjust
BOS 交易费能降到万三不我刚刚在大同开了个户万三 EOS\	O O O O O O O O O O O O O O O O O O O O O O commission_adjust
BOS 你好，我以前开通的融资业务交易费太高，能给降降吗？ EOS\	O O O O O O O O O O O O O O O O O O O O O O O O O O commission_adjust
BOS 改手续费 EOS\	O O O O O commission_adjust
BOS 佘经理能不能给我降一下手续费 EOS\	O O O O O O O O O O O O O O O commission_adjust
BOS 能给我降低手续费吗 EOS\	O O O O O O O O O O commission_adjust
BOS 那我现在这个万八的账户能给降到万三吗 EOS\	O O O O O O O O O O O O O O O O O O O commission_adjust
BOS 我的佣金还能少吗 EOS\	O O O O O O O O O commission_adjust
